id,page_id,block_type,block_id,building_blocks_area,the_order
32,4,wysiwyg,1,content,1
33,5,wysiwyg,1,content,1
34,6,wysiwyg,1,content,1
36,10,wysiwyg,1,content,2
37,10,image,2,3-0,1
38,10,create_columns,3,content,1
39,10,image,4,content,3
53,11,create_columns,1,content,1
54,11,wysiwyg,2,1-0,1
55,11,plain_text,3,1-1,1
56,11,image,4,1-2,1
57,11,image,5,1-2,1
58,11,image,6,1-1,2
60,11,image,7,content,2
61,8,subcategories,1,content,1
62,8,wysiwyg,2,left_sidebar,1
63,12,create_columns,2,content,1
64,12,wysiwyg,1,2-0,1
65,12,plain_text,3,2-1,1
66,12,image,4,left_sidebar,1
67,12,subcategories,5,right_sidebar,1
